panel,tenure,supersector,ref_date,emp_active_prior,emp_active_current,emp_qualified_prior,emp_qualified_current,emp_active_diff,emp_qualified_diff,emp_active_growth,emp_qualified_growth,emp_active_index,emp_qualified_index
0,1,70,2020-04-12,92182.0,76260.0,61996.0,26290.0,-15922.0,-35706.0,-0.17272352520014753,-0.5759403832505323,96.05198493964073,46.02237059341003
0,1,70,2020-05-12,77243.0,78964.0,26993.0,37996.0,1721.0,11003.0,0.022280336082233988,0.40762419886637274,98.1920554454616,64.7822025364801
0,1,70,2020-06-12,81703.0,86397.0,39638.0,48472.0,4694.0,8834.0,0.0574519907469738,0.2228669458600333,103.8333845063406,79.2200141618715
0,1,70,2020-07-12,89550.0,90998.0,50273.0,53089.0,1448.0,2816.0,0.01616973757677275,0.056014162671811904,105.51234308551626,83.65745692199782
0,1,70,2020-08-12,94450.0,94711.0,55546.0,57447.0,261.0,1901.0,0.002763366860772896,0.03422388650847946,105.8039123978013,86.52054023328427
0,1,70,2020-09-12,96470.0,95100.0,58696.0,59202.0,-1370.0,506.0,-0.014201306105525034,0.008620689655172414,104.30135865067795,87.26640695943327
0,1,70,2020-10-12,97293.0,97062.0,60818.0,62352.0,-231.0,1534.0,-0.0023742715303259228,0.025222795882797855,104.05371890425934,89.46750972959623
0,1,70,2020-11-12,100407.0,98442.0,64576.0,63437.0,-1965.0,-1139.0,-0.019570348680868863,-0.01763813181367691,102.01735134376186,87.88946999994418
0,1,70,2020-12-12,99830.0,98107.0,64959.0,59967.0,-1723.0,-4992.0,-0.01725934087949514,-0.07684847365261165,100.25659910129667,81.13529838031147
0,1,70,2021-01-12,98536.0,95641.0,60904.0,58846.0,-2895.0,-2058.0,-0.029380125030445726,-0.033790884014186263,97.31104768457331,78.39366492328597
0,1,70,2021-02-12,101154.0,102164.0,64183.0,68051.0,1010.0,3868.0,0.009984775688554087,0.060265179253073245,98.28267666772196,83.11807319219317
0,1,70,2021-03-12,103834.0,109279.0,69746.0,73753.0,5445.0,4007.0,0.052439470693607104,0.05745132337338342,103.43656821052822,87.8933164933304
0,1,70,2021-04-12,112162.0,117594.0,75879.0,80200.0,5432.0,4321.0,0.04842994953727644,0.05694592706809526,108.44599598927316,92.89848288413259
0,1,70,2021-05-12,120741.0,127390.0,83014.0,88353.0,6649.0,5339.0,0.055068286663188144,0.06431445298383405,114.41793118388541,98.87319799385365
0,1,70,2021-06-12,129355.0,138951.0,90091.0,96668.0,9596.0,6577.0,0.07418344864906652,0.07300396265997713,122.90584790639758,106.09133324826946
0,1,70,2021-07-12,141755.0,146580.0,98705.0,101484.0,4825.0,2779.0,0.0340376000846531,0.0281546020971582,127.08926800550073,109.0782925218315
0,1,70,2021-08-12,150670.0,154599.0,105055.0,104886.0,3929.0,-169.0,0.02607685670671003,-0.001608681167007758,130.40335663624086,108.9028203269223
0,1,70,2021-09-12,156399.0,155789.0,106791.0,104460.0,-610.0,-2331.0,-0.0039002806923317925,-0.021827682108042812,129.89474694213726,106.52572418415693
0,1,70,2021-10-12,159369.0,158955.0,106922.0,106825.0,-414.0,-97.0,-0.002597744856276942,-0.0009072033819045659,129.5573135314109,106.42908368691721
0,1,70,2021-11-12,161306.0,159334.0,109598.0,107835.0,-1972.0,-1763.0,-0.012225211709421844,-0.016086059964597894,127.97344794498548,104.71705906475226
0,1,70,2021-12-12,160361.0,159662.0,109527.0,108601.0,-699.0,-926.0,-0.004358915197585448,-0.008454536324376637,127.41562253785068,103.83172488510743
0,1,70,2022-01-12,161357.0,158392.0,109968.0,102678.0,-2965.0,-7290.0,-0.01837540360814839,-0.06629201222173724,125.07430904773418,96.94851091001985
0,1,70,2022-02-12,166890.0,167623.0,111326.0,114064.0,733.0,2738.0,0.004392114566480916,0.02459443436394014,125.62364974239529,99.33290469827807
0,1,70,2022-03-12,168668.0,174724.0,116355.0,118845.0,6056.0,2490.0,0.035904854507079,0.021400025783163593,130.13414860904425,101.45863141993776
0,1,70,2022-04-12,178178.0,182449.0,121580.0,124607.0,4271.0,3027.0,0.02397041161086105,0.02489718703734167,133.25351771583198,103.98466594295266
0,1,70,2022-05-12,185386.0,194176.0,127653.0,131888.0,8790.0,4235.0,0.04741458362551649,0.03317587522424072,139.57167777496355,107.43444824551041
0,1,70,2022-06-12,196037.0,202980.0,133714.0,137901.0,6943.0,4187.0,0.03541678356636757,0.031313101096369866,144.5148576787142,110.79855398465479
