ref_date,qcew_nsa_level,qcew_nsa_diff,qcew_nsa_growth,qcew_nsa_index
2020-03-12,124800577.0,-802596.0,-0.006389934114164456,100.0
2020-04-12,105812026.0,-18988551.0,-0.1521511475063132,84.78488524936868
2020-05-12,109649868.0,3837842.0,0.03627037629919306,87.8600649418472
2020-06-12,114400055.0,4750187.0,0.04332141102075928,91.66628692750358
2020-07-12,116061339.0,1661284.0,0.014521706305123717,92.99743782434598
2020-08-12,117079680.0,1018341.0,0.008774162083379031,93.81341241715575
2020-09-12,117437283.0,357603.0,0.0030543558028173633,94.09995195775417
2020-10-12,119452643.0,2015360.0,0.017161159969956048,95.71481628646639
2020-11-12,120012441.0,559798.0,0.004686359262892157,96.16337030236647
2020-12-12,119734027.0,-278414.0,-0.0023198761535064517,95.94028319276119
2021-01-12,117448158.0,-2285869.0,-0.01909122291527036,94.10866585977402
2021-02-12,118255636.0,807478.0,0.006875186582321708,94.75568049657333
2021-03-12,119373021.0,1117385.0,0.0094488942581984,95.65101690194909
2021-04-12,120746902.0,1373881.0,0.01150914158401001,96.75187799812815
2021-05-12,121919333.0,1172431.0,0.00970982261722955,97.69132157137382
2021-06-12,123076593.0,1157260.0,0.009492013871171687,98.61860895082239
2021-07-12,124313580.0,1236987.0,0.010050546329308937,99.60977984901463
2021-08-12,124412849.0,99269.0,0.0007985370544392656,99.68932194920862
2021-09-12,123731035.0,-681814.0,-0.005480253892425532,99.1429991545632
2021-10-12,125841089.0,2110054.0,0.017053554914496595,100.83373973503342
2021-11-12,126615456.0,774367.0,0.006153530664376243,101.45422324449669
2021-12-12,126866176.0,250720.0,0.001980168992954541,101.65511975156973
2022-01-12,124286446.0,-2579730.0,-0.020334261513486464,99.58803796235652
2022-02-12,125695884.0,1409438.0,0.011340238983098768,100.71739011270758
2022-03-12,126287289.0,591405.0,0.004705046666444543,101.19127013331033
2022-04-12,127726364.0,1439075.0,0.011395248178935887,102.34436977002115
2022-05-12,128583984.0,857620.0,0.006714510404445553,103.03156210567836
2022-06-12,129383171.0,799187.0,0.006215291944912828,103.67193334370558
2022-07-12,130284621.0,901450.0,0.006967289432100872,104.39424570929665
2022-08-12,130432634.0,148013.0,0.0011360742262895326,104.51284532121991
2022-09-12,129955325.0,-477309.0,-0.003659429280558729,104.13038795485694
2022-10-12,130465604.0,510279.0,0.003926572458650694,104.5392634683091
2022-11-12,130832057.0,366453.0,0.0028088092858559103,104.83289432227541
2022-12-12,130683341.0,-148716.0,-0.0011366938914672876,104.71373141167444
2023-01-12,128585335.0,-2098006.0,-0.016054119706045776,103.0326446327247
2023-02-12,129158411.0,573076.0,0.004456775727963068,103.49183802251167
2023-03-12,129592918.0,434507.0,0.003364140179767309,103.83999907308117
2023-04-12,130392952.0,800034.0,0.006173439199818003,104.48104899386801
2023-05-12,131402639.0,1009687.0,0.007743416990820179,105.29008932386583
2023-06-12,132566978.0,1164339.0,0.008860849438495676,106.22304895273038
2023-07-12,132276461.0,-290517.0,-0.002191473354699237,105.99026397129553
2023-08-12,132310274.0,33813.0,0.000255623712218911,106.01735759603095
2023-09-12,131898455.0,-411819.0,-0.0031125247310726605,105.68737594859033
2023-10-12,132227123.0,328668.0,0.0024918260035722175,105.95073050022835
2023-11-12,132543494.0,316371.0,0.0023926331664948955,106.20423173203757
2023-12-12,132521134.0,-22360.0,-0.00016869934030862353,106.18631514820638
2024-01-12,130098074.0,-2423060.0,-0.018284328898060892,104.24476963756344
2024-02-12,130575107.0,477033.0,0.003666718386622695,104.62700585110277
2024-03-12,131177088.0,601981.0,0.004610227889761561,105.10936019149975
2024-04-12,131971436.0,794348.0,0.006055539211237865,105.74585404360748
2024-05-12,132878874.0,907438.0,0.006876018231702806,106.4729644639383
2024-06-12,133589093.0,710219.0,0.005344860161894508,107.04204757002043
2024-07-12,133443786.0,-145307.0,-0.001087716045800236,106.92561621730319
2024-08-12,133542201.0,98415.0,0.0007375015573973598,107.00447402578912
2024-09-12,132998720.0,-543481.0,-0.0040697322339325525,106.56899446867139
2024-10-12,133332489.0,333769.0,0.002509565505592836,106.83643634115568
2024-11-12,133725839.0,393350.0,0.002950143681784865,107.15161917881196
2024-12-12,133504547.0,-221292.0,-0.0016548185575414487,106.97430269092425
2025-01-12,130896168.0,-2608379.0,-0.01953775402121697,104.88426507835776
2025-02-12,131295912.0,399744.0,0.003053901470973543,105.20457128976255
2025-03-12,131698007.0,402095.0,0.0030625096689986813,105.52676130656032
2025-04-12,132661348.0,963341.0,0.007314772804420647,106.29866559030413
2025-05-12,133565511.0,904163.0,0.006815572234348169,107.02315182404966
2025-06-12,133825668.0,260157.0,0.001947785757357676,107.2316099948801
