ref_date,ces_nsa_level,ces_nsa_diff,ces_nsa_growth,ces_nsa_index,ces_sa_level,ces_sa_diff,ces_sa_growth,ces_sa_index
2018-10-12,127692000.0,616000.0,0.004847492838931033,100.68361916026024,127047000.0,163000.0,0.001284637937013335,99.20276727988256
2018-11-12,128061000.0,369000.0,0.002889765999436143,100.97457125960973,127144000.0,97000.0,0.0007634969735609656,99.27850829246964
2018-12-12,127977000.0,-84000.0,-0.0006559374048305105,100.90833826138383,127298000.0,154000.0,0.0012112250676398414,99.39875691039138
2019-01-12,125501000.0,-2476000.0,-0.019347226454753588,98.95604178986794,127551000.0,253000.0,0.0019874624895913524,99.59630821126278
2019-02-12,125891000.0,390000.0,0.0031075449598011173,99.26355213877392,127540000.0,-11000.0,-0.00008624001379840221,99.58771902426837
2019-03-12,126474000.0,583000.0,0.004630990301133521,99.72324068598462,127726000.0,186000.0,0.0014583660028226438,99.73295436799204
2019-04-12,127470000.0,996000.0,0.007875136391669434,100.50857480780604,127974000.0,248000.0,0.001941656358141647,99.92660149295689
2019-05-12,128229000.0,759000.0,0.005954342198164274,101.10703725606149,128059000.0,85000.0,0.0006641974150999422,99.99297248336823
2019-06-12,129237000.0,1008000.0,0.00786093629366212,101.90183323477231,128235000.0,176000.0,0.001374366502940051,100.13039947527878
2019-07-12,129333000.0,96000.0,0.0007428213282573876,101.97752808988764,128364000.0,129000.0,0.001005965610012867,100.23112721366773
2019-08-12,129397000.0,64000.0,0.0004948466362026706,102.02799132663118,128546000.0,182000.0,0.0014178430089433175,100.37323921666616
2019-09-12,128837000.0,-560000.0,-0.004327766486085458,101.58643800512519,128712000.0,166000.0,0.0012913665147106872,100.50285785676361
2019-10-12,129441000.0,604000.0,0.004688094258636882,102.06268480189237,128790000.0,78000.0,0.0006060041021816148,100.56376300090577
2019-11-12,129899000.0,458000.0,0.0035382915768574098,102.42381233983838,128959000.0,169000.0,0.0013122136811864276,100.69572414654718
2019-12-12,129789000.0,-110000.0,-0.000846811753747142,102.3370786516854,129069000.0,110000.0,0.0008529842818260067,100.78161601649126
2020-01-12,127407000.0,-2382000.0,-0.01835286503478723,100.45890005913662,129250000.0,181000.0,0.0014023506806436867,100.92294718430834
2020-02-12,127872000.0,465000.0,0.0036497209729449715,100.82554701360142,129435000.0,185000.0,0.0014313346228239845,101.06740169285067
2020-03-12,126825000.0,-1047000.0,-0.008187875375375376,100.0,128068000.0,-1367000.0,-0.01056128558736045,100.0
2020-04-12,108012000.0,-18813000.0,-0.14833826138379658,85.16617386162034,108515000.0,-19553000.0,-0.15267670300153044,84.73232969984694
2020-05-12,111761000.0,3749000.0,0.03470910639558568,88.12221565148828,111647000.0,3132000.0,0.028862369257706307,87.17790548770965
2020-06-12,117211000.0,5450000.0,0.048764774832007585,92.41947565543073,116259000.0,4612000.0,0.04130876781283868,90.77911734391105
2020-07-12,118713000.0,1502000.0,0.012814496932881727,93.60378474275579,117741000.0,1482000.0,0.01274740020127474,91.93631508261237
2020-08-12,119601000.0,888000.0,0.007480225417603801,94.30396215257247,118819000.0,1078000.0,0.009155689182188023,92.77805540806447
2020-09-12,119987000.0,386000.0,0.0032273977642327404,94.60831854918197,119841000.0,1022000.0,0.008601317971031568,93.57606896336323
2020-10-12,121433000.0,1446000.0,0.012051305558102127,95.74847230435644,120656000.0,815000.0,0.006800677564439549,94.21244963613083
2020-11-12,121959000.0,526000.0,0.0043316067296369195,96.16321703134243,121048000.0,392000.0,0.0032489059806391726,94.5185370272043
2020-12-12,121618000.0,-341000.0,-0.0027960216138210384,95.89434259806823,120870000.0,-178000.0,-0.0014704910448747604,94.37954836493115
2021-01-12,119315000.0,-2303000.0,-0.01893634165995165,94.07845456337476,121134000.0,264000.0,0.0021841648051625713,94.58568885279698
2021-02-12,120136000.0,821000.0,0.006880945396639149,94.72580327222555,121658000.0,524000.0,0.004325787970346889,94.99484648780337
2021-03-12,121165000.0,1029000.0,0.00856529266830925,95.53715750049285,122390000.0,732000.0,0.006016866954906377,95.56641784052225
2021-04-12,122170000.0,1005000.0,0.008294474476952916,96.32958801498131,122702000.0,312000.0,0.0025492278780946155,95.81003841709094
